,Time,Tweet
19,Aug 13,میں تمام پاکستانیوں بالخصوص ہمارے غیور نوجوانوں کو دعوت دیتا ھوں کہ کل نیشنل ہاکی اسٹیڈیم لاہور میں چئیرمین عمران خان کی کال پر حقیقی ازادی جلسہ میں شریک ہوں تاکہ ہم مل کر جشنِ آزادی منائیں اور حقیقی آزادی کی تحریک کا اگلا مرحلہ شروع کریں ۔  پاکستان پائندہ باد
20,Aug 12,جمہوریت اور آزادیِ رائے کے نام نہاد علمبرداروں کی جانب سے مخالفین اور ازاد میڈیا پر آمریت سے بھی بدتر فسطائیت اور جبر جاری ھے۔ آے ار وائی کے خلاف حکومتی انتقامی کارروائیاں انتہائی قابل مذمت ہیں ۔#PakistanUnderFascism
21,Aug 12,Strongly condemn the torture being inflicted on Shahbaz Gill. Under what law & under who's orders is this being done? If he broke any law then he shd be given a fair hearing. But just to salvage Imported govt of crooks the Constitution & all laws are being violated with impunity.
22,Aug 11,سیاسی میدان میں ناکامی کی وجہ سے امپورٹڈ حکومت اس قدر بوکھلاہٹ کا شکار ھے کہ اب شیر خوار بچوں کو بھی پابندِ سلاسل کیا جا رہا ھے۔ شہباز گِل کے ڈرائیور کے اہلِ خانہ سے جو سلوک روا رکھا گیا وہ پاکستان میں فسطائیت راج کا منہ بولتا ثبوت ھے۔
23,Aug 11,"As we observe National #MinorityDay, let us honour those who have built progressive Pakistan. I encourage youth to live by words of great Quaid: You are free;you are free to go to your temples. You are free to go to your mosques or any other places of worship in this State of "
24,Aug 10,"Condemn the arrest of 
@ARYNEWSOFFICIAL
 senior vice president Ammad Yousuf and the decision to take the channel off air. Pakistan is moving rapidly towards a fascist state where all dissenting voices are muted. #PakistanUnderFascism"
25,Aug 9,"Let the lesson of Karbala resonate; to rise against injustice and oppression. That the truth takes sacrifice, courage, belief and steadfastness. #Ashura #عاشوراء"
26,Aug 9,"بنی گالہ چوک سے ڈاکٹر شہباز گل کی مبینہ گرفتاری کی جتنی مذمت کی جائے کم ھے۔  امپورٹڈ حکومت  فسطائیت کی تمام حدیں پار کرتی جارہی ھے لیکن وہ وقت دور نہیں جب پاکستانی عوام ان مسلط کردہ حکمرانوں سے ایک ایک ظلم کا حساب لیں گے۔

 #ReleaseShahbazGill"
27,Aug 6,Horrific brutality being unleashed by Israel on Palestine; absolute disregard for the sanctity of life; for women and children. Pakistan will always stand with the people of #Palestine. The world must act to end Israeli atrocities. #GazaUnderAttack
28,Aug 5,"Since its illegal & unilateral actions of 5 Aug 2019, India continues to act as a rogue state with unrelenting violence in #IIOJK. Yet indigenous resistance movement for Kashmiri’s inalienable right to self-determination stands strong.  will always stand by ppl of Kashmir."
29,Aug 2,ہیلی کاپٹر حادثے میں جامِ شہادت نوش کرنے والے تمام افسران اور جوانوں کو پوری قوم سلام پیش کرتی ھے۔  شہداء کے بلند درجات کے لئے دعاگو ہوں۔ اللہ تعالیٰ لواحقین کو صبرِ جمیل عطا فرمائے ۔۔
30,Aug 1,آرمی ایوی ایشن کے ہیلی کاپٹر کی گمشدگی کی خبر سے پوری قوم پریشان ہے۔ اللہ تعالیٰ سے دعا ھے کہ تمام مسافر بخیریت ہوں ۔ انشاءاللہ
31,Jul 27,"عمران خان کے ساتھ اس عظیم قوم کا دل دھڑکتا ہے۔  

ذرا موازنہ کریں:

 پاکستان بھر میں احتجاج جب پی ٹی آئی کو ایک درآمد شدہ حکومت کے لیے راستہ بنانے کے لیے ہٹایا گیا۔

 بمقابلہ
 کرپٹ ن لیگ کو ہٹانے پر پورے پاکستان میں جشن.
#عوام_کی_جیت"
32,Jul 27,"پاکستان کے مجموعی سیاسی اور معاشی حالات دن بدن غیر مستحکم ہوتے جا رہے ہیں, اس صورتحال میں واحد حل فی الفور نئے صاف شفاف عام انتخابات ھے۔ عوام کا بھی یہی مطالبہ ھے۔ جتنا جلدی وفاقی حکومت یہ بات سمجھ جائے اتنا نقصان کم ہوسکتا ھے.
⁧#عوام_کی_جیت"
33,Jul 27,"ھم سپریم کورٹ کے فیصلے کا خیر مقدم کرتے ہیں۔  ڈپٹی اسپیکر پنجاب اسمبلی کا 22 جولائی کا فیصلہ یقیناً غیر آئینی تھا۔ چوہدری پرویز الٰہی کو وزارتِ اعلیٰ مبارک۔ میں پنجاب کے غیور عوام کو بھی مبارک دیتا ہوں جو دھونس, دھاندلی اور ظلم کے باوجود ڈٹے رہے اور کپتان کو کامیابی سے ہمکنار کیا"
34,Jul 22,پنجاب اسمبلی میں جو آج ہوا سراسر مضحکہ خیز ہے لیکن اس کرپٹ حکومت سے  اور کیا امید کی جا سکتی ہے جو اقتدار کے لئے کسی بھی حد تک جاسکتی ھے چاہے اس کا مطلب عوام کو نقصان ہی کیوں نہ ہو۔ یہ فیصلہ خلافِ آئین اور عوام کی آواز کو دبانے کے مترادف ہے۔  ہم انصاف کے لیے سپریم کورٹ جا رہے ہیں
35,Jul 22,"Absolute farce in Punjab but what can one expect from this corrupt govt who continue to go to any lengths to stay in power, even if it means the ppl of  suffer. This ruling is against Constitution & a rejection of people’s voice. We are going to the Supreme Court for justice."
36,Jul 20,"Imposition of 35% tax on Foreign Allowance of diplomats unwarranted. Goal should be to enhance/protect those who work tirelessly with limited resources & spiralling inflation. If state cannot protect interests of own orgs, how can ppl of  expect protection of national interest?"
37,Jul 18,"تحریک انصاف کی شاندار فتح عوام کی طاقت کا مظہر ھے۔ وہ عوام جو تمام تر ریاستی مشینری, مداخلت اور ظلم و جبر کے سامنے ڈٹے رہے اور جم کر مقابلہ کیا۔ مجھے تمام پی ٹی آئی لیڈران, ورکرز اور زین قریشی پر فخر ھے جسطرح انہوں نے فتح اپنے نام کی۔"
38,Jul 18,"The incredible 
@PTIofficial
 victory shows the power of our people, who fought honestly  against every kind of state interference and injustice. Proud of every PTI leader and worker today for their resilience and resolve and of 
@ZainHQ
 for his brilliant victory."
39,Jul 17,آج پنجاب کا باشعور ووٹر اس ملک کی سیاسی سمت کا تعین  کریگا۔ ووٹرز سے گزارش ھے کہ جتنی جلدی ہوسکے اپنا ووٹ ڈالیں۔ اربابِ اختیار سے مطالبہ ھے کہ اس ملک کی سالمیت کی خاطر کسی بھی قسم کی ممکنہ دھاندلی کو روکا جائے تاکہ اس ملک میں جاری سیاسی خلفشار کو خاتمے کی طرف گامزن کیا جاسکے۔
40,Jul 16,"پنجاب بھر میں تمام بڑے میڈیا ہاؤسز اور غیر جانبدار اداروں کے سروے کے مطابق پنجاب کے اکثریتی حلقوں میں تحریکِ انصاف کو سبقت حاصل ھے۔ نوجوانوں! اپکا فرض ہے کہ کل کسی صورت اپنا ووٹ چوری نہیں ہونے دینا۔اانشاءاللہ فتح تحریک انصاف کی ہوگی۔ 
#بلے_پہ_ٹھپہ"
41,Jul 16,یہ صرف 20 سیٹوں کا الیکشن نہیں ھے بلکہ ان انتخابات سے پاکستان کی آئندہ سیاسی سمت کا فیصلہ ہوگا۔ بحیثیتِ قوم ہمیں  فیصلہ کرنا ھے کہ کیا ہمیں بیرونی اشاروں پر چلنے والوں کی غلامی قبول ھے یا ہم حقیقی آزادی چاہتے ہیں۔ قوم بیدار ہوچکی ھے اور فتح تحریکِ انصاف کی ہوگی۔ انشاء الله
42,Jul 16,کل پنجاب کی موجودہ تاریخ کا سب سے اہم الیکشن ہونے جا رہا ھے۔ جس میں ایک طرف سازشیوں کا ٹولہ اور دوسری جانب حقیقی آزادی کے سپاہی صف آرا ہونگے۔  میری تمام اہلِ پنجاب سے گزارش ھے کہ کل بلے پر مہر لگا کر اپنے ووٹ کے حق کا  صحیح استعمال کریں۔
43,Jul 14,ملتان نے عمران خان کو کبھی مایوس نہیں کیا۔ آج شام 7 بجے بمقام لاٹ گراؤنڈ ملتان کی تاریخ کا عظیم الشان اجتماع ہونے جارہا ھے۔ ملتان کے شہری چئیرمین عمران خان کے استقبال کے لئے تیار ھیں۔
44,Jul 10,"Eid Mubarak to everyone celebrating across the world 

تمام اہلِ اسلام کو عید الاضحیٰ مبارک

#EidMubarak"
45,Jul 6,"The 
@PTIofficial
 leader of opp in Sindh assembly, Haleem Adil Sheikh, was picked up and taken away in the middle of the night. Nothing short of a kidnapping. Complete disregard for rule of law in Pakistan today by the corrupt regime. Is no one safe? #PakistanUnderFascism"
46,Jul 6,"Absolutely condemn the arrest of 
@ImranRiazKhan
 and the stifling of free press in purana Pakistan.
The people of Pakistan will not be silenced. Pakistan rejects this corruption riddled regime. #PakistanUnderFascism"
47,Jul 3,نون لیگ دہائیوں سے کردارکشی اور عزت دار خواتین پر کیچڑ اچھالنے کا کام مہارت سے جاری رکھے ہوئے ہے۔ میں عطا تارڑ کی جانب سے چئیرمین عمران خان کی اہلیہ کے بارے میں گھٹیا اور نازیبا الفاظ کی شدید مذمت کرتا ہوں ان نیچ حرکات سے عوامی پزیرائی نہیں بلکہ مزید رسوائی نون لیگ کا مقدر بنے گی
48,Jul 3,"شکریہ راولپنڈی / اسلام آباد
تحریکِ انصاف جلسے میں اتنی کثیر تعداد میں عوامی شمولیت نہ صرف چئیرمین عمران خان پر  پاکستان کے لوگوں کے مکمل اعتماد کا مظہر ھے بلکہ یہ واضح پیغام ھے کہ غیور پاکستانی قوم کسی طور اس نااہل اور کرپٹ امپورٹڈ حکومت کو قبول کرنے کے لئے تیار نہیں۔"
49,Jun 25,"ائے روز مہنگائی کا طوفان اور اوپر سے اضافی ٹیکس۔ معیشت تباہی کے دہانے اور عوام کی کمر ٹوٹ چکی ھے۔  سوال یہ ھے کہ اگر کوئی پلان نہیں تھا تو کیوں سازش کے ذریعے اس امپورٹڈ حکومت نے اقتدار حاصل کیا۔  ملک کو اس بھنور سے نکالنے کا واحد حل فوری شفاف انتخابات ہے۔
#امپورٹڈ_حکومت_نامنظور"
